timestamp,ping,download,upload
1639113300536.844,37.3,93.3,35.49
1639116900569.5332,29.24,91.06,35.94
1639120500592.5679,28.07,94.07,37.23
1639124100616.7258,28.38,94.2,36.36
1639127700640.692,24.26,87.1,35.96
1639131300651.894,23.34,93.53,36.61
1639134900685.249,23.85,94.25,35.67
1639138500708.0159,19.86,78.99,35.95
1639142100745.676,19.48,92.75,35.06
1639145700753.7341,20.7,92.94,36.75
1639149300770.446,14.77,93.05,33.95
1639152900803.578,15.75,94.26,35.56
1639156500817.795,18.18,84.13,37.17
1639160109237.4001,18.1,93.03,34.29
1639163700948.647,14.74,93.2,36.74
1639167300894.841,21.49,93.91,36.3
1639170900917.267,17.82,74.19,36.21
1639174500964.128,19.49,93.28,37.1
1639178100965.373,26.91,90.68,35.68
1639181700990.376,20.66,93.95,36.69
1639185301004.731,21.66,92.58,35.89
1639188901020.112,21.77,92.57,37.34
1639192501122.662,15.82,94.3,37.01
1639196101077.368,16.11,93.9,37.07
1639199701108.56,19.13,94.52,36.73
1639203300125.0579,14.87,93.64,35.03
1639206900148.55,14.19,94.03,37.13
1639210500173.397,40.46,93.9,35.5
1639214100207.5789,23.07,93.26,35.75
1639217705930.8792,43.78,87.78,36.3
1639221301513.151,20.93,91.89,35.96
1639224901147.918,15.87,94.36,36.69
1639228503401.317,20.23,92.74,36.98
1639232100897.8691,20.29,82.75,36.53
1639235700746.9639,21.02,87.04,36.95
1639239300995.485,18.18,83.52,35.4
1639242900786.521,17.91,85.71,34.69
1639246500960.877,15.38,74.79,36.83
1639250100912.14,15.14,90.54,34.44
1639253700764.896,19.56,89.84,37.11
1639257301273.477,19.94,76.89,35.41
1639260900984.158,18.37,68.31,36.29
1639264502033.979,29.38,93.89,37.2
1639268101751.087,24.31,93.55,37.54
1639271701686.891,24.37,90.47,35.72
1639275301387.083,39.36,88.64,35.69
1639278901218.629,24.49,92.52,37.38
1639282503287.1611,37.74,90.28,36.91
1639286101090.359,36.19,88.3,36.97
1639289701691.333,23.95,91.62,35.79
1639293301719.54,24.92,84.78,35.72
1639296901023.371,29.3,94.01,37.43
1639300500948.574,56.51,20.95,29.3
1639304101113.75,20.22,93.43,36.19
1639307706666.533,35.13,89.61,37.48
1639311301569.752,24.67,87.61,37.21
1639314901343.212,21.17,93.56,33.33
1639318501575.998,23.33,87.47,27.42
1639322101284.201,14.94,90.4,37.32
1639325701230.243,15.96,69.59,35.89
1639329301164.4338,37.63,90.37,37.27
1639332900406.47,24.31,85.25,36.96
1639336500358.161,28.82,37.29,37.32
1639340100408.087,22.7,89.51,36.88
1639343700636.484,16.19,61.05,37.0
1639347300389.25,17.99,83.04,33.49
1639350904414.147,26.96,86.95,35.31
1639354501097.9011,15.48,79.65,37.3
1639358101600.659,16.05,92.58,36.47
1639361700837.749,34.6,91.46,35.46
1639365302133.477,28.89,88.33,34.82
1639368900791.141,26.4,89.02,36.97
1639372500697.1372,21.26,93.97,35.01
1639376100653.438,15.28,91.74,36.83
1639379700669.197,14.9,92.13,36.88
1639383300795.656,39.03,93.17,37.48
1639386900872.029,30.88,91.75,34.94
1639390501647.5278,41.76,81.13,37.37
1639394101015.512,18.62,93.18,36.11
1639397700989.376,14.43,89.82,36.1
1639401302098.264,16.12,93.3,36.06
1639404901359.518,16.04,92.43,37.43
1639408502249.062,20.21,91.72,26.73
1639412100848.865,15.0,92.65,36.6
1639415701306.585,14.66,93.52,37.06
1639419301116.919,15.48,93.09,37.06
1639422900911.9329,16.79,92.4,37.09
1639426501032.709,23.64,73.31,36.17
1639430101039.165,14.22,89.05,36.97
1639433701061.126,15.28,90.96,35.58
1639437301310.498,15.65,89.67,35.85
1639440903833.489,15.76,93.92,35.68
1639444503136.01,15.72,89.13,35.47
1639448100621.694,17.28,94.1,35.05
1639451700523.645,17.09,39.91,35.68
1639455300432.945,14.53,67.25,29.57
1639458900289.9229,25.61,61.48,32.58
1639462501105.157,15.63,93.67,37.17
1639466103078.7202,15.58,92.61,35.86
1639469702972.099,33.1,37.54,28.71
1639473300813.2441,23.97,87.85,37.6
1639476900573.955,22.85,76.35,36.46
1639480500670.4321,20.2,88.02,36.5
1639484100667.1182,14.62,88.83,31.7
1639487701444.199,13.99,54.55,35.95
1639491300846.386,20.15,84.89,36.48
1639494900962.9731,20.96,89.85,36.97
1639498500881.383,17.87,85.79,37.24
1639502100748.107,22.37,83.54,37.27
1639505700823.484,18.25,92.43,36.97
1639509300909.7332,16.66,74.84,36.89
1639512902909.214,25.34,92.76,36.75
1639516501316.391,15.54,33.5,36.9
1639520100960.122,17.33,87.48,37.09
1639523700904.301,19.98,85.65,34.07
1639527301128.165,18.45,76.2,36.79
1639530901010.2898,17.47,87.5,37.65
1639534500912.147,31.26,91.66,36.74
1639538101735.111,21.19,91.54,24.56
1639541700943.327,20.5,74.04,35.05
1639545301243.3728,23.4,89.35,37.02
1639548901240.614,14.95,93.06,36.77
1639552501073.066,15.54,87.78,36.71
1639556101104.6282,20.15,93.95,34.85
1639559701752.786,17.89,85.94,36.66
1639563300248.548,17.61,91.95,35.8
1639566900249.839,22.56,92.73,36.8
1639570500160.299,14.72,93.52,37.25
1639574100180.856,14.01,94.55,35.62
1639577700208.487,44.32,92.18,34.99
1639581307567.668,36.82,91.57,35.48
1639584900307.667,32.78,84.04,35.39
1639588500276.309,37.67,92.65,37.21
1639592100292.762,27.19,90.79,37.43
1639595700330.717,26.68,94.14,37.62
1639599300343.861,26.1,92.86,35.5
1639602900378.225,19.77,88.36,37.14
1639606500401.703,20.64,93.5,35.52
1639610100418.8708,23.27,92.13,37.36
1639613700436.6099,14.32,93.29,37.29
1639617300468.24,15.28,88.52,35.41
1639620900492.121,15.31,93.09,37.07
1639624500513.5989,13.86,93.56,36.23
1639628100538.229,14.01,94.29,35.25
1639631700548.6392,19.17,88.36,37.08
1639635300577.98,19.97,92.62,36.85
1639638900608.129,18.94,92.78,37.03
1639642500782.255,18.58,87.46,32.56
1639646100684.9102,18.94,91.88,36.44
1639649700709.705,19.88,87.9,36.96
1639653300725.7869,24.17,93.84,35.39
1639656900748.413,15.08,93.29,37.07
1639660500778.087,15.61,93.94,36.3
1639664100802.4968,16.72,94.15,34.79
1639667700815.475,15.99,94.09,37.29
1639671300852.409,15.91,93.61,37.0
1639674900878.728,153.11,40.52,20.91
1639678500893.3389,145.45,75.49,30.32
1639682100923.872,138.97,24.8,28.11
1639685700944.99,18.76,92.05,37.02
1639689300963.273,19.77,74.42,36.36
1639692900994.7468,24.51,94.07,36.73
1639696501005.773,20.5,94.0,36.79
1639700101029.551,15.94,94.36,36.98
1639703701053.117,19.91,94.22,35.67
1639707301085.1382,19.76,91.24,37.23
1639710901097.052,16.37,94.21,36.86
1639714500131.031,15.04,74.09,36.44
1639718100155.2761,19.82,94.49,30.35
1639721700169.16,13.78,91.95,36.94
1639725300194.0452,14.65,94.31,37.18
1639728900217.652,20.49,71.59,37.01
1639732500242.084,14.88,90.73,36.82
1639736100264.483,15.91,89.94,35.65
1639739700292.603,19.36,94.26,36.88
1639743300344.9868,16.65,94.3,34.72
1639746900339.724,19.32,94.89,34.86
1639750500352.3928,23.04,93.43,35.02
1639754100373.488,19.86,88.52,36.62
1639757700406.873,20.15,92.52,37.38
1639761300421.254,31.69,90.27,36.14
1639764900444.244,22.36,90.76,36.01
1639768500476.6592,21.64,88.72,36.45
1639772100497.833,21.12,93.48,34.67
1639775700521.131,15.01,94.2,36.83
1639779300537.02,14.98,93.44,36.75
1639782900569.175,15.01,93.59,36.22
1639786500592.9102,14.87,91.54,36.94
1639790100614.852,17.34,93.12,36.91
1639793700642.2678,20.87,91.47,32.0
1639797300665.8499,16.52,93.99,32.63
1639800900678.573,17.49,70.04,33.04
1639804500709.6829,24.17,84.36,36.95
1639808100724.794,14.78,94.2,37.45
1639811700757.2751,16.76,90.08,36.95
1639815300772.85,15.61,91.99,37.14
1639818900908.763,15.1,82.7,37.26
1639822500828.749,14.28,92.79,37.07
1639826100832.521,21.44,94.04,34.35
1639829700873.117,19.97,92.63,35.55
1639833300897.321,20.35,93.75,21.39
1639836900917.679,20.05,89.62,36.53
1639840500926.038,90.13,42.02,35.3
1639844100965.2532,15.59,75.82,37.25
1639847700987.254,16.06,93.17,37.42
1639851301011.429,14.01,94.11,33.91
1639854901033.481,15.78,94.53,36.85
1639858501057.141,17.02,93.85,36.35
1639862101065.186,18.05,91.19,36.49
1639865701104.668,15.42,92.59,35.86
1639869300118.784,29.32,85.29,35.98
1639872900142.936,15.59,93.79,36.07
1639876500174.264,16.86,94.36,35.53
1639880100189.453,22.73,84.48,37.05
1639883700212.405,14.19,94.32,35.17
1639887300238.628,16.16,94.0,36.57
1639890900269.256,19.42,93.79,35.82
1639894500287.591,19.21,89.42,37.76
1639898100313.885,14.77,70.85,36.88
1639901700328.769,22.08,80.37,35.25
1639905300360.689,15.16,92.52,37.37
1639908900384.381,15.52,76.35,34.22
1639912500406.218,28.41,93.69,36.89
1639916100430.0088,81.42,24.19,36.13
1639919700452.3188,19.19,89.58,36.89
1639923300476.273,37.5,93.62,35.53
1639926900490.1719,25.69,75.24,37.41
1639930500513.813,23.2,94.36,36.84
1639934100536.0652,24.91,90.09,36.88
1639937700562.1272,21.74,93.46,36.36
1639941300584.5088,23.15,94.33,37.15
1639944900617.3699,32.86,94.15,24.55
1639948500624.283,23.34,92.14,30.96
1639952100648.741,22.0,90.62,37.02
